gene	family	description
OR10J3	OR	"olfactory receptor, family 10, subfamily J, member 3"
OR10J4P	OR	"olfactory receptor, family 10, subfamily J, member 4 pseudogene"
OR10J5	OR	"olfactory receptor, family 10, subfamily J, member 5"
OR10J6P	OR	"olfactory receptor, family 10, subfamily J, member 6 pseudogene"
OR10J7P	OR	"olfactory receptor, family 10, subfamily J, member 7 pseudogene"
OR10J8P	OR	"olfactory receptor, family 10, subfamily J, member 8 pseudogene"
OR10J9P	OR	"olfactory receptor, family 10, subfamily J, member 9 pseudogene"
OR10K1	OR	"olfactory receptor, family 10, subfamily K, member 1"
OR10K2	OR	"olfactory receptor, family 10, subfamily K, member 2"
OR10N1P	OR	"olfactory receptor, family 10, subfamily N, member 1 pseudogene"
OR10P1	OR	"olfactory receptor, family 10, subfamily P, member 1"
OR10Q1	OR	"olfactory receptor, family 10, subfamily Q, member 1"
OR10Q2P	OR	"olfactory receptor, family 10, subfamily Q, member 2 pseudogene"
OR10R1P	OR	"olfactory receptor, family 10, subfamily R, member 1 pseudogene"
OR10R2	OR	"olfactory receptor, family 10, subfamily R, member 2"
OR10R3P	OR	"olfactory receptor, family 10, subfamily R, member 3 pseudogene"
OR10S1	OR	"olfactory receptor, family 10, subfamily S, member 1"
OR10T1P	OR	"olfactory receptor, family 10, subfamily T, member 1 pseudogene"
OR10T2	OR	"olfactory receptor, family 10, subfamily T, member 2"
OR10U1P	OR	"olfactory receptor, family 10, subfamily U, member 1 pseudogene"
OR10V1	OR	"olfactory receptor, family 10, subfamily V, member 1"
OR10V2P	OR	"olfactory receptor, family 10, subfamily V, member 2 pseudogene"
OR10V3P	OR	"olfactory receptor, family 10, subfamily V, member 3 pseudogene"
OR10V7P	OR	"olfactory receptor, family 10, subfamily V, member 7 pseudogene"
OR10W1	OR	"olfactory receptor, family 10, subfamily W, member 1"
OR10X1	OR	"olfactory receptor, family 10, subfamily X, member 1"
OR10Y1P	OR	"olfactory receptor, family 10, subfamily Y, member 1 pseudogene"
OR10Z1	OR	"olfactory receptor, family 10, subfamily Z, member 1"
OR11A1	OR	"olfactory receptor, family 11, subfamily A, member 1"
OR11G1P	OR	"olfactory receptor, family 11, subfamily G, member 1 pseudogene"
OR11G2	OR	"olfactory receptor, family 11, subfamily G, member 2"
OR11H1	OR	"olfactory receptor, family 11, subfamily H, member 1"
OR11H2	OR	"olfactory receptor, family 11, subfamily H, member 2"
OR11H3P	OR	"olfactory receptor, family 11, subfamily H, member 3 pseudogene"
OR11H4	OR	"olfactory receptor, family 11, subfamily H, member 4"
OR11H5P	OR	"olfactory receptor, family 11, subfamily H, member 5 pseudogene"
OR11H6	OR	"olfactory receptor, family 11, subfamily H, member 6"
OR11H7P	OR	"olfactory receptor, family 11, subfamily H, member 7 pseudogene"
OR11H8P	OR	"olfactory receptor, family 11, subfamily H, member 8 pseudogene"
OR11H12	OR	"olfactory receptor, family 11, subfamily H, member 12"
OR11H13P	OR	"olfactory receptor, family 11, subfamily H, member 13 pseudogene"
OR11I1P	OR	"olfactory receptor, family 11, subfamily I, member 1 pseudogene"
OR11J1P	OR	"olfactory receptor, family 11, subfamily J, member 1 pseudogene"
OR11J2P	OR	"olfactory receptor, family 11, subfamily J, member 2 pseudogene"
OR11J5P	OR	"olfactory receptor, family 11, subfamily J, member 5 pseudogene"
OR11K1P	OR	"olfactory receptor, family 11, subfamily K, member 1 pseudogene"
OR11K2P	OR	"olfactory receptor, family 11, subfamily K, member 2 pseudogene"
OR11L1	OR	"olfactory receptor, family 11, subfamily L, member 1"
OR11M1P	OR	"olfactory receptor, family 11, subfamily M, member 1 pseudogene"
OR11N1P	OR	"olfactory receptor, family 11, subfamily N, member 1 pseudogene"
OR11P1P	OR	"olfactory receptor, family 11, subfamily P, member 1 pseudogene"
OR11Q1P	OR	"olfactory receptor, family 11, subfamily Q, member 1 pseudogene"
OR12D1P	OR	"olfactory receptor, family 12, subfamily D, member 1 pseudogene"
OR12D2	OR	"olfactory receptor, family 12, subfamily D, member 2"
OR12D3	OR	"olfactory receptor, family 12, subfamily D, member 3"
OR13A1	OR	"olfactory receptor, family 13, subfamily A, member 1"
OR13C1P	OR	"olfactory receptor, family 13, subfamily C, member 1 pseudogene"
OR13C2	OR	"olfactory receptor, family 13, subfamily C, member 2"
OR13C3	OR	"olfactory receptor, family 13, subfamily C, member 3"
OR13C4	OR	"olfactory receptor, family 13, subfamily C, member 4"
OR13C5	OR	"olfactory receptor, family 13, subfamily C, member 5"
OR13C6P	OR	"olfactory receptor, family 13, subfamily C, member 6 pseudogene"
OR13C7P	OR	"olfactory receptor, family 13, subfamily C, member 7 pseudogene"
OR13C8	OR	"olfactory receptor, family 13, subfamily C, member 8"
OR13C9	OR	"olfactory receptor, family 13, subfamily C, member 9"
OR13D1	OR	"olfactory receptor, family 13, subfamily D, member 1"
OR13D2P	OR	"olfactory receptor, family 13, subfamily D, member 2 pseudogene"
OR13D3P	OR	"olfactory receptor, family 13, subfamily D, member 3 pseudogene"
OR13E1P	OR	"olfactory receptor, family 13, subfamily E, member 1 pseudogene"
OR13F1	OR	"olfactory receptor, family 13, subfamily F, member 1"
OR13G1	OR	"olfactory receptor, family 13, subfamily G, member 1"
OR13H1	OR	"olfactory receptor, family 13, subfamily H, member 1"
OR13I1P	OR	"olfactory receptor, family 13, subfamily I, member 1 pseudogene"
OR13J1	OR	"olfactory receptor, family 13, subfamily J, member 1"
OR13K1P	OR	"olfactory receptor, family 13, subfamily K, member 1 pseudogene"
OR13Z1P	OR	"olfactory receptor, family 13, subfamily Z, member 1 pseudogene"
OR13Z2P	OR	"olfactory receptor, family 13, subfamily Z, member 2 pseudogene"
OR13Z3P	OR	"olfactory receptor, family 13, subfamily Z, member 3 pseudogene"
OR51A1P	OR	"olfactory receptor, family 51, subfamily A, member 1 pseudogene"
OR51A2	OR	"olfactory receptor, family 51, subfamily A, member 2"
OR51A3P	OR	"olfactory receptor, family 51, subfamily A, member 3 pseudogene"
OR51A4	OR	"olfactory receptor, family 51, subfamily A, member 4"
OR51A5P	OR	"olfactory receptor, family 51, subfamily A, member 5 pseudogene"
OR51A6P	OR	"olfactory receptor, family 51, subfamily A, member 6 pseudogene"
OR51A7	OR	"olfactory receptor, family 51, subfamily A, member 7"
OR51A8P	OR	"olfactory receptor, family 51, subfamily A, member 8 pseudogene"
OR51A9P	OR	"olfactory receptor, family 51, subfamily A, member 9 pseudogene"
OR51A10P	OR	"olfactory receptor, family 51, subfamily A, member 10 pseudogene"
OR51AB1P	OR	"olfactory receptor, family 51, subfamily AB, member 1 pseudogene"
OR51B2	OR	"olfactory receptor, family 51, subfamily B, member 2"
OR51B3P	OR	"olfactory receptor, family 51, subfamily B, member 3 pseudogene"
OR51B4	OR	"olfactory receptor, family 51, subfamily B, member 4"
OR51B5	OR	"olfactory receptor, family 51, subfamily B, member 5"
OR51B6	OR	"olfactory receptor, family 51, subfamily B, member 6"
OR51B8P	OR	"olfactory receptor, family 51, subfamily B, member 8 pseudogene"
OR51C1P	OR	"olfactory receptor, family 51, subfamily C, member 1 pseudogene"
OR51C4P	OR	"olfactory receptor, family 51, subfamily C, member 4 pseudogene"
OR51D1	OR	"olfactory receptor, family 51, subfamily D, member 1"
OR51E1	OR	"olfactory receptor, family 51, subfamily E, member 1"
OR51E2	OR	"olfactory receptor, family 51, subfamily E, member 2"
OR51F1	OR	"olfactory receptor, family 51, subfamily F, member 1"
OR51F2	OR	"olfactory receptor, family 51, subfamily F, member 2"
OR51F3P	OR	"olfactory receptor, family 51, subfamily F, member 3 pseudogene"
OR51F4P	OR	"olfactory receptor, family 51, subfamily F, member 4 pseudogene"
OR51F5P	OR	"olfactory receptor, family 51, subfamily F, member 5 pseudogene"
OR51G1	OR	"olfactory receptor, family 51, subfamily G, member 1"
OR51G2	OR	"olfactory receptor, family 51, subfamily G, member 2"
OR51H1P	OR	"olfactory receptor, family 51, subfamily H, member 1 pseudogene"
OR51H2P	OR	"olfactory receptor, family 51, subfamily H, member 2 pseudogene"
OR51I1	OR	"olfactory receptor, family 51, subfamily I, member 1"
OR51I2	OR	"olfactory receptor, family 51, subfamily I, member 2"
OR51J1	OR	"olfactory receptor, family 51, subfamily J, member 1"
OR51K1P	OR	"olfactory receptor, family 51, subfamily K, member 1 pseudogene"
OR51L1	OR	"olfactory receptor, family 51, subfamily L, member 1"
OR51M1	OR	"olfactory receptor, family 51, subfamily M, member 1"
OR51N1P	OR	"olfactory receptor, family 51, subfamily N, member 1 pseudogene"
OR51P1P	OR	"olfactory receptor, family 51, subfamily P, member 1 pseudogene"
OR51Q1	OR	"olfactory receptor, family 51, subfamily Q, member 1"
OR51R1P	OR	"olfactory receptor, family 51, subfamily R, member 1 pseudogene"
OR51S1	OR	"olfactory receptor, family 51, subfamily S, member 1"
OR51T1	OR	"olfactory receptor, family 51, subfamily T, member 1"
OR51V1	OR	"olfactory receptor, family 51, subfamily V, member 1"
OR52A1	OR	"olfactory receptor, family 52, subfamily A, member 1"
OR52A4	OR	"olfactory receptor, family 52, subfamily A, member 4"
OR52A5	OR	"olfactory receptor, family 52, subfamily A, member 5"
OR52B1P	OR	"olfactory receptor, family 52, subfamily B, member 1 pseudogene"
OR52B2	OR	"olfactory receptor, family 52, subfamily B, member 2"
OR52B3P	OR	"olfactory receptor, family 52, subfamily B, member 3 pseudogene"
OR52B4	OR	"olfactory receptor, family 52, subfamily B, member 4"
OR52B5P	OR	"olfactory receptor, family 52, subfamily B, member 5 pseudogene"
OR52B6	OR	"olfactory receptor, family 52, subfamily B, member 6"
OR52D1	OR	"olfactory receptor, family 52, subfamily D, member 1"
OR52E1P	OR	"olfactory receptor, family 52, subfamily E, member 1 pseudogene"
OR52E2	OR	"olfactory receptor, family 52, subfamily E, member 2"
OR52E3P	OR	"olfactory receptor, family 52, subfamily E, member 3 pseudogene"
OR52E4	OR	"olfactory receptor, family 52, subfamily E, member 4"
OR52E5	OR	"olfactory receptor, family 52, subfamily E, member 5"
OR52E6	OR	"olfactory receptor, family 52, subfamily E, member 6"
OR52E7P	OR	"olfactory receptor, family 52, subfamily E, member 7 pseudogene"
OR52E8	OR	"olfactory receptor, family 52, subfamily E, member 8"
OR52H1	OR	"olfactory receptor, family 52, subfamily H, member 1"
OR52H2P	OR	"olfactory receptor, family 52, subfamily H, member 2 pseudogene"
OR52I1	OR	"olfactory receptor, family 52, subfamily I, member 1"
OR52I2	OR	"olfactory receptor, family 52, subfamily I, member 2"
OR52J1P	OR	"olfactory receptor, family 52, subfamily J, member 1 pseudogene"
OR52J2P	OR	"olfactory receptor, family 52, subfamily J, member 2 pseudogene"
OR52J3	OR	"olfactory receptor, family 52, subfamily J, member 3"
OR52K1	OR	"olfactory receptor, family 52, subfamily K, member 1"
OR52K2	OR	"olfactory receptor, family 52, subfamily K, member 2"
OR52K3P	OR	"olfactory receptor, family 52, subfamily K, member 3 pseudogene"
OR52L1	OR	"olfactory receptor, family 52, subfamily L, member 1"
OR52L2P	OR	"olfactory receptor, family 52, subfamily L, member 2 pseudogene"
OR52M1	OR	"olfactory receptor, family 52, subfamily M, member 1"
OR52M2P	OR	"olfactory receptor, family 52, subfamily M, member 2 pseudogene"
OR52N1	OR	"olfactory receptor, family 52, subfamily N, member 1"
OR52N2	OR	"olfactory receptor, family 52, subfamily N, member 2"
OR52N3P	OR	"olfactory receptor, family 52, subfamily N, member 3 pseudogene"
OR52N4	OR	"olfactory receptor, family 52, subfamily N, member 4"
OR52N5	OR	"olfactory receptor, family 52, subfamily N, member 5"
OR52P1P	OR	"olfactory receptor, family 52, subfamily P, member 1 pseudogene"
OR52P2P	OR	"olfactory receptor, family 52, subfamily P, member 2 pseudogene"
OR52Q1P	OR	"olfactory receptor, family 52, subfamily Q, member 1 pseudogene"
OR52R1	OR	"olfactory receptor, family 52, subfamily R, member 1"
OR52S1P	OR	"olfactory receptor, family 52, subfamily S, member 1 pseudogene"
OR52T1P	OR	"olfactory receptor, family 52, subfamily T, member 1 pseudogene"
OR52U1P	OR	"olfactory receptor, family 52, subfamily U, member 1 pseudogene"
OR52V1P	OR	"olfactory receptor, family 52, subfamily V, member 1 pseudogene"
OR52W1	OR	"olfactory receptor, family 52, subfamily W, member 1"
OR52X1P	OR	"olfactory receptor, family 52, subfamily X, member 1 pseudogene"
OR52Y1P	OR	"olfactory receptor, family 52, subfamily Y, member 1 pseudogene"
OR52Z1P	OR	"olfactory receptor, family 52, subfamily Z, member 1 pseudogene"
OR55B1P	OR	"olfactory receptor, family 55, subfamily B, member 1 pseudogene"
OR56A1	OR	"olfactory receptor, family 56, subfamily A, member 1"
OR56A3	OR	"olfactory receptor, family 56, subfamily A, member 3"
OR56A4	OR	"olfactory receptor, family 56, subfamily A, member 4"
OR56A5	OR	"olfactory receptor, family 56, subfamily A, member 5"
OR56A7P	OR	"olfactory receptor, family 56, subfamily A, member 7 pseudogene"
OR56B1	OR	"olfactory receptor, family 56, subfamily B, member 1"
OR56B2P	OR	"olfactory receptor, family 56, subfamily B, member 2 pseudogene"
OR56B3P	OR	"olfactory receptor, family 56, subfamily B, member 3 pseudogene"
OR56B4	OR	"olfactory receptor, family 56, subfamily B, member 4"
OSBP	OSBP	oxysterol binding protein
OSBP2	OSBP	oxysterol binding protein 2
OSBPL1A	OSBP	oxysterol binding protein-like 1A
OSBPL2	OSBP	oxysterol binding protein-like 2
OSBPL3	OSBP	oxysterol binding protein-like 3
OSBPL5	OSBP	oxysterol binding protein-like 5
OSBPL6	OSBP	oxysterol binding protein-like 6
OSBPL7	OSBP	oxysterol binding protein-like 7
OSBPL8	OSBP	oxysterol binding protein-like 8
OSBPL9	OSBP	oxysterol binding protein-like 9
OSBPL10	OSBP	oxysterol binding protein-like 10
OSBPL11	OSBP	oxysterol binding protein-like 11
PADI1	PADI	"peptidyl arginine deiminase, type I"
PADI2	PADI	"peptidyl arginine deiminase, type II"
PADI3	PADI	"peptidyl arginine deiminase, type III"
PADI4	PADI	"peptidyl arginine deiminase, type IV"
PADI6	PADI	"peptidyl arginine deiminase, type VI"
PAX1	PAX	paired box gene 1
PAX2	PAX	paired box gene 2
PAX3	PAX	paired box gene 3 (Waardenburg syndrome 1)
PAX4	PAX	paired box gene 4
PAX5	PAX	paired box gene 5 (B-cell lineage specific activator)
PAX6	PAX	"paired box gene 6 (aniridia, keratitis)"
PAX7	PAX	paired box gene 7
PAX8	PAX	paired box gene 8
PAX9	PAX	paired box gene 9
DCHS1	PCDH	dachsous 1 (Drosophila)
MUCDHL	PCDH	mucin and cadherin-like
PCDH1	PCDH	protocadherin 1 (cadherin-like 1)
PCDH7	PCDH	BH-protocadherin (brain-heart)
PCDH8	PCDH	protocadherin 8
PCDH9	PCDH	protocadherin 9
PCDH10	PCDH	protocadherin 10
PCDH11X	PCDH	protocadherin 11 X-linked
PCDH11Y	PCDH	protocadherin 11 Y-linked
PCDH12	PCDH	protocadherin 12
PCDH15	PCDH	protocadherin 15
PCDH17	PCDH	protocadherin 17
PCDH18	PCDH	protocadherin 18
PCDH19	PCDH	protocadherin 19
PCDH20	PCDH	protocadherin 20
PCDH21	PCDH	protocadherin 21
PCDHA1	PCDH	protocadherin alpha 1
PCDHA2	PCDH	protocadherin alpha 2
PCDHA3	PCDH	protocadherin alpha 3
PCDHA4	PCDH	protocadherin alpha 4
PCDHA5	PCDH	protocadherin alpha 5
PCDHA6	PCDH	protocadherin alpha 6
PCDHA7	PCDH	protocadherin alpha 7
PCDHA8	PCDH	protocadherin alpha 8
PCDHA9	PCDH	protocadherin alpha 9
PCDHA10	PCDH	protocadherin alpha 10
PCDHA11	PCDH	protocadherin alpha 11
PCDHA12	PCDH	protocadherin alpha 12
PCDHA13	PCDH	protocadherin alpha 13
PCDHA14	PCDH	protocadherin alpha 14 pseudogene
PCDHA@	PCDH	protocadherin alpha cluster
PCDHAC1	PCDH	"protocadherin alpha subfamily C, 1"
PCDHAC2	PCDH	"protocadherin alpha subfamily C, 2"
PCDHACT	PCDH	protocadherin alpha constant
PCDHB1	PCDH	protocadherin beta 1
PCDHB2	PCDH	protocadherin beta 2
PCDHB3	PCDH	protocadherin beta 3
PCDHB4	PCDH	protocadherin beta 4
PCDHB5	PCDH	protocadherin beta 5
PCDHB6	PCDH	protocadherin beta 6
PCDHB7	PCDH	protocadherin beta 7
PCDHB8	PCDH	protocadherin beta 8
PCDHB9	PCDH	protocadherin beta 9
PCDHB10	PCDH	protocadherin beta 10
PCDHB11	PCDH	protocadherin beta 11
PCDHB12	PCDH	protocadherin beta 12
PCDHB13	PCDH	protocadherin beta 13
PCDHB14	PCDH	protocadherin beta 14
PCDHB15	PCDH	protocadherin beta 15
PCDHB16	PCDH	protocadherin beta 16
PCDHB17	PCDH	protocadherin beta 17 pseudogene
PCDHB18	PCDH	protocadherin beta 18 pseudogene
PCDHB@	PCDH	protocadherin beta cluster
PCDHG@	PCDH	protocadherin gamma cluster
PCDHGA1	PCDH	"protocadherin gamma subfamily A, 1"
PCDHGA2	PCDH	"protocadherin gamma subfamily A, 2"
PCDHGA3	PCDH	"protocadherin gamma subfamily A, 3"
PCDHGA4	PCDH	"protocadherin gamma subfamily A, 4"
PCDHGA5	PCDH	"protocadherin gamma subfamily A, 5"
PCDHGA6	PCDH	"protocadherin gamma subfamily A, 6"
PCDHGA7	PCDH	"protocadherin gamma subfamily A, 7"
PCDHGA8	PCDH	"protocadherin gamma subfamily A, 8"
PCDHGA9	PCDH	"protocadherin gamma subfamily A, 9"
PCDHGA10	PCDH	"protocadherin gamma subfamily A, 10"
PCDHGA11	PCDH	"protocadherin gamma subfamily A, 11"
PCDHGA12	PCDH	"protocadherin gamma subfamily A, 12"
PCDHGB1	PCDH	"protocadherin gamma subfamily B, 1"
PCDHGB2	PCDH	"protocadherin gamma subfamily B, 2"
PCDHGB3	PCDH	"protocadherin gamma subfamily B, 3"
PCDHGB4	PCDH	"protocadherin gamma subfamily B, 4"
PCDHGB5	PCDH	"protocadherin gamma subfamily B, 5"
PCDHGB6	PCDH	"protocadherin gamma subfamily B, 6"
PCDHGB7	PCDH	"protocadherin gamma subfamily B, 7"
PCDHGB8P	PCDH	"protocadherin gamma subfamily B, 8 pseudogene"
PCDHGC3	PCDH	"protocadherin gamma subfamily C, 3"
PCDHGC4	PCDH	"protocadherin gamma subfamily C, 4"
PCDHGC5	PCDH	"protocadherin gamma subfamily C, 5"
PCDHGCT	PCDH	protocadherin gamma constant
PDE1A	PDE	"phosphodiesterase 1A, calmodulin-dependent"
PDE1B	PDE	"phosphodiesterase 1B, calmodulin-dependent"
PDE1C	PDE	"phosphodiesterase 1C, calmodulin-dependent 70kDa"
PDE2A	PDE	"phosphodiesterase 2A, cGMP-stimulated"
PDE3A	PDE	"phosphodiesterase 3A, cGMP-inhibited"
PDE3B	PDE	"phosphodiesterase 3B, cGMP-inhibited"
PDE4A	PDE	"phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)"
PDE4B	PDE	"phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)"
PDE4C	PDE	"phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)"
